Site Name ,ST-HENRI
Site Number ,100
Logger ,Capacitive Water Level
Logger Serial Number ,42564


Scan No ,Date and Time,       Capacitive Water Level,        ,
103,15/06/2024 , 21:00:00,3272,3272
104,15/06/2024 , 22:00:00,3266,3266
105,15/06/2024 , 23:00:00,3257,3257
106,15/06/2024 , 23:59:59,3252,3252
107,16/06/2024 , 01:00:00,3244,3244
108,16/06/2024 , 02:00:00,3240,3240
109,16/06/2024 , 03:00:00,3236,3236
110,16/06/2024 , 04:00:00,3234,3234
111,16/06/2024 , 05:00:00,3232,3232
112,16/06/2024 , 06:00:00,3230,3230
113,16/06/2024 , 07:00:00,3230,3230
114,16/06/2024 , 08:00:00,3229,3229
115,16/06/2024 , 09:00:00,3229,3229
116,16/06/2024 , 10:00:00,3229,3229
117,16/06/2024 , 11:00:00,3228,3228
118,16/06/2024 , 12:00:00,3228,3228
119,16/06/2024 , 13:00:00,3227,3227
120,16/06/2024 , 14:00:00,3227,3227
121,16/06/2024 , 15:00:00,3227,3227
122,16/06/2024 , 16:00:00,3224,3224
123,16/06/2024 , 17:00:00,3224,3224
124,16/06/2024 , 18:00:00,3224,3224
125,16/06/2024 , 19:00:00,3222,3222
126,16/06/2024 , 20:00:00,3221,3221
127,16/06/2024 , 21:00:00,3221,3221
128,16/06/2024 , 22:00:00,3221,3221
129,16/06/2024 , 23:00:00,3221,3221
130,16/06/2024 , 23:59:59,3221,3221
131,17/06/2024 , 01:00:00,3221,3221
132,17/06/2024 , 02:00:00,3221,3221
133,17/06/2024 , 03:00:00,3221,3221
134,17/06/2024 , 04:00:00,3222,3222
135,17/06/2024 , 05:00:00,3224,3224
136,17/06/2024 , 06:00:00,3225,3225
137,17/06/2024 , 07:00:00,3226,3226
138,17/06/2024 , 08:00:00,3236,3236
139,17/06/2024 , 09:00:00,3245,3245
140,17/06/2024 , 10:00:00,3257,3257
141,17/06/2024 , 11:00:00,3266,3266
142,17/06/2024 , 12:00:00,3272,3272
143,17/06/2024 , 13:00:00,3276,3276
144,17/06/2024 , 14:00:00,3288,3288
145,17/06/2024 , 15:00:00,2922,2922
146,17/06/2024 , 16:00:00,2061,2061
147,17/06/2024 , 17:00:00,1037,1037
148,17/06/2024 , 18:00:00,269,269
149,17/06/2024 , 19:00:00,269,269
150,17/06/2024 , 20:00:00,65293,65293
151,17/06/2024 , 21:00:00,64524,64524
152,17/06/2024 , 22:00:00,62988,62988
153,17/06/2024 , 23:00:00,62220,62220
154,17/06/2024 , 23:59:59,61452,61452
155,18/06/2024 , 01:00:00,60428,60428
156,18/06/2024 , 02:00:00,59660,59660
157,18/06/2024 , 03:00:00,58892,58892
158,18/06/2024 , 04:00:00,58124,58124
159,18/06/2024 , 05:00:00,57356,57356
160,18/06/2024 , 06:00:00,56844,56844
161,18/06/2024 , 07:00:00,56588,56588
162,18/06/2024 , 08:00:00,56076,56076
163,18/06/2024 , 09:00:00,55308,55308
164,18/06/2024 , 10:00:00,55308,55308
165,18/06/2024 , 11:00:00,54284,54284
166,18/06/2024 , 12:00:00,53772,53772
167,18/06/2024 , 13:00:00,53772,53772
168,18/06/2024 , 14:00:00,53260,53260
169,18/06/2024 , 15:00:00,53004,53004
170,18/06/2024 , 16:00:00,52236,52236
171,18/06/2024 , 17:00:00,52236,52236
172,18/06/2024 , 18:00:00,51468,51468
173,18/06/2024 , 19:00:00,51468,51468
174,18/06/2024 , 20:00:00,50700,50700
175,18/06/2024 , 21:00:00,49676,49676
176,18/06/2024 , 22:00:00,46348,46348
177,18/06/2024 , 23:00:00,45580,45580
178,18/06/2024 , 23:59:59,44812,44812
179,19/06/2024 , 01:00:00,44044,44044
180,19/06/2024 , 02:00:00,43276,43276
181,19/06/2024 , 03:00:00,42508,42508
182,19/06/2024 , 04:00:00,41740,41740
183,19/06/2024 , 05:00:00,40972,40972
184,19/06/2024 , 06:00:00,40460,40460
185,19/06/2024 , 07:00:00,39948,39948
186,19/06/2024 , 08:00:00,38924,38924
187,19/06/2024 , 09:00:00,38924,38924
188,19/06/2024 , 10:00:00,38412,38412
189,19/06/2024 , 11:00:00,38156,38156
190,19/06/2024 , 12:00:00,38156,38156
191,19/06/2024 , 13:00:00,37644,37644
192,19/06/2024 , 14:00:00,37644,37644
193,19/06/2024 , 15:00:00,37644,37644
194,19/06/2024 , 16:00:00,37644,37644
195,19/06/2024 , 17:00:00,37388,37388
196,19/06/2024 , 18:00:00,37388,37388
197,19/06/2024 , 19:00:00,37388,37388
198,19/06/2024 , 20:00:00,37388,37388
199,19/06/2024 , 21:00:00,37388,37388
200,19/06/2024 , 22:00:00,36876,36876
201,19/06/2024 , 23:00:00,36876,36876
202,19/06/2024 , 23:59:59,36364,36364
203,20/06/2024 , 01:00:00,36108,36108
204,20/06/2024 , 02:00:00,35852,35852
205,20/06/2024 , 03:00:00,35340,35340
206,20/06/2024 , 04:00:00,35340,35340
207,20/06/2024 , 05:00:00,35084,35084
208,20/06/2024 , 06:00:00,35084,35084
209,20/06/2024 , 07:00:00,34828,34828
210,20/06/2024 , 08:00:00,34316,34316
211,20/06/2024 , 09:00:00,34572,34572
212,20/06/2024 , 10:00:00,34316,34316
213,20/06/2024 , 11:00:00,33804,33804
214,20/06/2024 , 12:00:00,33804,33804
215,20/06/2024 , 13:00:00,33804,33804
216,20/06/2024 , 14:00:00,33804,33804
217,20/06/2024 , 15:00:00,33804,33804
218,20/06/2024 , 16:00:00,33804,33804
219,20/06/2024 , 17:00:00,33804,33804
220,20/06/2024 , 18:00:00,33804,33804
221,20/06/2024 , 19:00:00,33804,33804
222,20/06/2024 , 20:00:00,33804,33804
223,20/06/2024 , 21:00:00,34060,34060
224,20/06/2024 , 22:00:00,33804,33804
225,20/06/2024 , 23:00:00,33804,33804
226,20/06/2024 , 23:59:59,33292,33292
227,21/06/2024 , 01:00:00,32780,32780
228,21/06/2024 , 02:00:00,32268,32268
229,21/06/2024 , 03:00:00,32012,32012
230,21/06/2024 , 04:00:00,31756,31756
231,21/06/2024 , 05:00:00,31500,31500
232,21/06/2024 , 06:00:00,31500,31500
233,21/06/2024 , 07:00:00,31244,31244
234,21/06/2024 , 08:00:00,30988,30988
235,21/06/2024 , 09:00:00,30988,30988
236,21/06/2024 , 10:00:00,30476,30476
237,21/06/2024 , 11:00:00,30732,30732
238,21/06/2024 , 12:00:00,30476,30476
239,21/06/2024 , 13:00:00,30476,30476
240,21/06/2024 , 14:00:00,30476,30476
241,21/06/2024 , 15:00:00,30476,30476
242,21/06/2024 , 16:00:00,30476,30476
243,21/06/2024 , 17:00:00,30476,30476
244,21/06/2024 , 18:00:00,30476,30476
245,21/06/2024 , 19:00:00,30476,30476
246,21/06/2024 , 20:00:00,30732,30732
247,21/06/2024 , 21:00:00,30476,30476
248,21/06/2024 , 22:00:00,30476,30476
249,21/06/2024 , 23:00:00,30220,30220
250,21/06/2024 , 23:59:59,29708,29708
251,22/06/2024 , 01:00:00,29196,29196
252,22/06/2024 , 02:00:00,28684,28684
253,22/06/2024 , 03:00:00,28172,28172
254,22/06/2024 , 04:00:00,27916,27916
255,22/06/2024 , 05:00:00,27916,27916
256,22/06/2024 , 06:00:00,25612,25612
257,22/06/2024 , 07:00:00,25100,25100
258,22/06/2024 , 08:00:00,24844,24844
259,22/06/2024 , 09:00:00,24844,24844
260,22/06/2024 , 10:00:00,24588,24588
261,22/06/2024 , 11:00:00,24588,24588
262,22/06/2024 , 12:00:00,24588,24588
263,22/06/2024 , 13:00:00,24588,24588
264,22/06/2024 , 14:00:00,24076,24076
265,22/06/2024 , 15:00:00,24076,24076
266,22/06/2024 , 16:00:00,23820,23820
267,22/06/2024 , 17:00:00,23820,23820
268,22/06/2024 , 18:00:00,25868,25868
269,22/06/2024 , 19:00:00,58124,58124
270,22/06/2024 , 20:00:00,12812,12812
271,22/06/2024 , 21:00:00,14093,14093
272,22/06/2024 , 22:00:00,13581,13581
273,22/06/2024 , 23:00:00,11277,11277
274,22/06/2024 , 23:59:59,15373,15373
275,23/06/2024 , 01:00:00,10509,10509
276,23/06/2024 , 02:00:00,6925,6925
277,23/06/2024 , 03:00:00,4877,4877
278,23/06/2024 , 04:00:00,3341,3341
279,23/06/2024 , 05:00:00,2317,2317
280,23/06/2024 , 06:00:00,1037,1037
281,23/06/2024 , 07:00:00,269,269
282,23/06/2024 , 08:00:00,65293,65293
283,23/06/2024 , 09:00:00,64524,64524
284,23/06/2024 , 10:00:00,64012,64012
285,23/06/2024 , 11:00:00,62732,62732
286,23/06/2024 , 12:00:00,62220,62220
287,23/06/2024 , 13:00:00,62220,62220
288,23/06/2024 , 14:00:00,61452,61452
289,23/06/2024 , 15:00:00,61196,61196
290,23/06/2024 , 16:00:00,60940,60940
291,23/06/2024 , 17:00:00,60172,60172
292,23/06/2024 , 18:00:00,59404,59404
293,23/06/2024 , 19:00:00,58892,58892
294,23/06/2024 , 20:00:00,58636,58636
295,23/06/2024 , 21:00:00,58636,58636
296,23/06/2024 , 22:00:00,58636,58636
297,23/06/2024 , 23:00:00,58124,58124
298,23/06/2024 , 23:59:59,57612,57612
299,24/06/2024 , 01:00:00,57100,57100
300,24/06/2024 , 02:00:00,56076,56076
301,24/06/2024 , 03:00:00,55308,55308
302,24/06/2024 , 04:00:00,54540,54540
303,24/06/2024 , 05:00:00,53772,53772
304,24/06/2024 , 06:00:00,53004,53004
305,24/06/2024 , 07:00:00,51468,51468
306,24/06/2024 , 08:00:00,50700,50700
307,24/06/2024 , 09:00:00,49676,49676
308,24/06/2024 , 10:00:00,48396,48396
309,24/06/2024 , 11:00:00,47884,47884
310,24/06/2024 , 12:00:00,47628,47628
311,24/06/2024 , 13:00:00,47116,47116
312,24/06/2024 , 14:00:00,47372,47372
313,24/06/2024 , 15:00:00,46860,46860
314,24/06/2024 , 16:00:00,46860,46860
315,24/06/2024 , 17:00:00,44300,44300
316,24/06/2024 , 18:00:00,44044,44044
317,24/06/2024 , 19:00:00,44044,44044
318,24/06/2024 , 20:00:00,43788,43788
319,24/06/2024 , 21:00:00,43276,43276
320,24/06/2024 , 22:00:00,43276,43276
321,24/06/2024 , 23:00:00,42764,42764
322,24/06/2024 , 23:59:59,42252,42252
323,25/06/2024 , 01:00:00,41740,41740
324,25/06/2024 , 02:00:00,41228,41228
325,25/06/2024 , 03:00:00,40460,40460
326,25/06/2024 , 04:00:00,39692,39692
327,25/06/2024 , 05:00:00,39180,39180
328,25/06/2024 , 06:00:00,38668,38668
329,25/06/2024 , 07:00:00,38412,38412
330,25/06/2024 , 08:00:00,37900,37900
331,25/06/2024 , 09:00:00,37644,37644
332,25/06/2024 , 10:00:00,36876,36876
333,25/06/2024 , 11:00:00,36876,36876
334,25/06/2024 , 12:00:00,36364,36364
335,25/06/2024 , 13:00:00,36364,36364
336,25/06/2024 , 14:00:00,36620,36620
337,25/06/2024 , 15:00:00,36364,36364
338,25/06/2024 , 16:00:00,36364,36364
339,25/06/2024 , 17:00:00,36364,36364
340,25/06/2024 , 18:00:00,36364,36364
341,25/06/2024 , 19:00:00,36364,36364
342,25/06/2024 , 20:00:00,36108,36108
343,25/06/2024 , 21:00:00,36364,36364
344,25/06/2024 , 22:00:00,36108,36108
345,25/06/2024 , 23:00:00,35852,35852
346,25/06/2024 , 23:59:59,35852,35852
347,26/06/2024 , 01:00:00,35596,35596
348,26/06/2024 , 02:00:00,35340,35340
349,26/06/2024 , 03:00:00,35084,35084
350,26/06/2024 , 04:00:00,34828,34828
351,26/06/2024 , 05:00:00,34828,34828
352,26/06/2024 , 06:00:00,34572,34572
353,26/06/2024 , 07:00:00,34572,34572
354,26/06/2024 , 08:00:00,34572,34572
355,26/06/2024 , 09:00:00,34572,34572
356,26/06/2024 , 10:00:00,34316,34316
357,26/06/2024 , 11:00:00,34572,34572
358,26/06/2024 , 12:00:00,34572,34572
359,26/06/2024 , 13:00:00,34572,34572
360,26/06/2024 , 14:00:00,34316,34316
361,26/06/2024 , 15:00:00,34316,34316
362,26/06/2024 , 16:00:00,34060,34060
363,26/06/2024 , 17:00:00,34316,34316
364,26/06/2024 , 18:00:00,34060,34060
365,26/06/2024 , 19:00:00,34316,34316
366,26/06/2024 , 20:00:00,34316,34316
367,26/06/2024 , 21:00:00,33804,33804
368,26/06/2024 , 22:00:00,33548,33548
369,26/06/2024 , 23:00:00,33804,33804
370,26/06/2024 , 23:59:59,33292,33292
371,27/06/2024 , 01:00:00,33292,33292
372,27/06/2024 , 02:00:00,33292,33292
373,27/06/2024 , 03:00:00,33292,33292
374,27/06/2024 , 04:00:00,33292,33292
375,27/06/2024 , 05:00:00,33292,33292
376,27/06/2024 , 06:00:00,33292,33292
377,27/06/2024 , 07:00:00,33292,33292
378,27/06/2024 , 08:00:00,33548,33548
379,27/06/2024 , 09:00:00,43020,43020
380,27/06/2024 , 10:00:00,58380,58380
381,27/06/2024 , 11:00:00,64524,64524
382,27/06/2024 , 12:00:00,2572,2572
383,27/06/2024 , 13:00:00,3341,3341
384,27/06/2024 , 14:00:00,3085,3085
385,27/06/2024 , 15:00:00,2573,2573
386,27/06/2024 , 16:00:00,1549,1549
387,27/06/2024 , 17:00:00,781,781
388,27/06/2024 , 18:00:00,269,269
389,27/06/2024 , 19:00:00,65293,65293
390,27/06/2024 , 20:00:00,65036,65036
391,27/06/2024 , 21:00:00,64268,64268
392,27/06/2024 , 22:00:00,62988,62988
393,27/06/2024 , 23:00:00,62476,62476
394,27/06/2024 , 23:59:59,62220,62220
395,28/06/2024 , 01:00:00,30988,30988
396,28/06/2024 , 02:00:00,23053,23053
397,28/06/2024 , 03:00:00,20237,20237
398,28/06/2024 , 04:00:00,18445,18445
399,28/06/2024 , 05:00:00,16141,16141
400,28/06/2024 , 06:00:00,14093,14093
401,28/06/2024 , 07:00:00,12813,12813
402,28/06/2024 , 08:00:00,11021,11021
403,28/06/2024 , 09:00:00,9741,9741
404,28/06/2024 , 10:00:00,8717,8717
405,28/06/2024 , 11:00:00,7693,7693
406,28/06/2024 , 12:00:00,6669,6669
407,28/06/2024 , 13:00:00,5645,5645
408,28/06/2024 , 14:00:00,4877,4877
409,28/06/2024 , 15:00:00,3853,3853
410,28/06/2024 , 16:00:00,3085,3085
411,28/06/2024 , 17:00:00,2317,2317
412,28/06/2024 , 18:00:00,1293,1293
413,28/06/2024 , 19:00:00,269,269
414,28/06/2024 , 20:00:00,13,13
415,28/06/2024 , 21:00:00,65037,65037
416,28/06/2024 , 22:00:00,64524,64524
417,28/06/2024 , 23:00:00,64012,64012
418,28/06/2024 , 23:59:59,63756,63756
419,29/06/2024 , 01:00:00,62220,62220
420,29/06/2024 , 02:00:00,62220,62220
421,29/06/2024 , 03:00:00,61708,61708
422,29/06/2024 , 04:00:00,61196,61196
423,29/06/2024 , 05:00:00,60428,60428
424,29/06/2024 , 06:00:00,59916,59916
425,29/06/2024 , 07:00:00,59660,59660
426,29/06/2024 , 08:00:00,59148,59148
427,29/06/2024 , 09:00:00,58380,58380
428,29/06/2024 , 10:00:00,58124,58124
429,29/06/2024 , 11:00:00,57868,57868
430,29/06/2024 , 12:00:00,57356,57356
431,29/06/2024 , 13:00:00,57100,57100
432,29/06/2024 , 14:00:00,56844,56844
433,29/06/2024 , 15:00:00,56588,56588
434,29/06/2024 , 16:00:00,56332,56332
435,29/06/2024 , 17:00:00,56076,56076
436,29/06/2024 , 18:00:00,55564,55564
437,29/06/2024 , 19:00:00,55564,55564
438,29/06/2024 , 20:00:00,55308,55308
439,29/06/2024 , 21:00:00,55052,55052
440,29/06/2024 , 22:00:00,54540,54540
441,29/06/2024 , 23:00:00,54028,54028
442,29/06/2024 , 23:59:59,53516,53516
443,30/06/2024 , 01:00:00,53004,53004
444,30/06/2024 , 02:00:00,51980,51980
445,30/06/2024 , 03:00:00,51212,51212
446,30/06/2024 , 04:00:00,50700,50700
447,30/06/2024 , 05:00:00,49420,49420
448,30/06/2024 , 06:00:00,48396,48396
449,30/06/2024 , 07:00:00,47628,47628
450,30/06/2024 , 08:00:00,47372,47372
451,30/06/2024 , 09:00:00,44812,44812
452,30/06/2024 , 10:00:00,44300,44300
453,30/06/2024 , 11:00:00,44300,44300
454,30/06/2024 , 12:00:00,43788,43788
455,30/06/2024 , 13:00:00,43532,43532
456,30/06/2024 , 14:00:00,43276,43276
457,30/06/2024 , 15:00:00,43020,43020
458,30/06/2024 , 16:00:00,42764,42764
459,30/06/2024 , 17:00:00,43020,43020
460,30/06/2024 , 18:00:00,43020,43020
461,30/06/2024 , 19:00:00,42508,42508
462,30/06/2024 , 20:00:00,42508,42508
463,30/06/2024 , 21:00:00,42508,42508
464,30/06/2024 , 22:00:00,42508,42508
465,30/06/2024 , 23:00:00,41740,41740
466,30/06/2024 , 23:59:59,41484,41484
467,01/07/2024 , 01:00:00,41228,41228
468,01/07/2024 , 02:00:00,40460,40460
469,01/07/2024 , 03:00:00,39436,39436
470,01/07/2024 , 04:00:00,38924,38924
471,01/07/2024 , 05:00:00,38412,38412
472,01/07/2024 , 06:00:00,38156,38156
473,01/07/2024 , 07:00:00,37644,37644
474,01/07/2024 , 08:00:00,37644,37644
475,01/07/2024 , 09:00:00,37132,37132
476,01/07/2024 , 10:00:00,36620,36620
477,01/07/2024 , 11:00:00,36364,36364
478,01/07/2024 , 12:00:00,36364,36364
479,01/07/2024 , 13:00:00,36364,36364
480,01/07/2024 , 14:00:00,36364,36364
481,01/07/2024 , 15:00:00,36108,36108
482,01/07/2024 , 16:00:00,36108,36108
483,01/07/2024 , 17:00:00,36364,36364
484,01/07/2024 , 18:00:00,35852,35852
485,01/07/2024 , 19:00:00,35852,35852
486,01/07/2024 , 20:00:00,36364,36364
487,01/07/2024 , 21:00:00,36364,36364
488,01/07/2024 , 22:00:00,35852,35852
489,01/07/2024 , 23:00:00,35852,35852
490,01/07/2024 , 23:59:59,35596,35596
491,02/07/2024 , 01:00:00,35340,35340
492,02/07/2024 , 02:00:00,35340,35340
493,02/07/2024 , 03:00:00,34572,34572
494,02/07/2024 , 04:00:00,34572,34572
495,02/07/2024 , 05:00:00,34316,34316
496,02/07/2024 , 06:00:00,34316,34316
497,02/07/2024 , 07:00:00,34060,34060
498,02/07/2024 , 08:00:00,33804,33804
499,02/07/2024 , 09:00:00,33548,33548
500,02/07/2024 , 10:00:00,33804,33804
501,02/07/2024 , 11:00:00,33804,33804
502,02/07/2024 , 12:00:00,33548,33548
503,02/07/2024 , 13:00:00,33292,33292
504,02/07/2024 , 14:00:00,33292,33292
505,02/07/2024 , 15:00:00,33292,33292
506,02/07/2024 , 16:00:00,35084,35084
507,02/07/2024 , 17:00:00,34316,34316
508,02/07/2024 , 18:00:00,34316,34316
509,02/07/2024 , 19:00:00,34316,34316
510,02/07/2024 , 20:00:00,34316,34316
511,02/07/2024 , 21:00:00,34316,34316
512,02/07/2024 , 22:00:00,33804,33804
513,02/07/2024 , 23:00:00,34060,34060
514,02/07/2024 , 23:59:59,32780,32780
515,03/07/2024 , 01:00:00,32012,32012
516,03/07/2024 , 02:00:00,31756,31756
517,03/07/2024 , 03:00:00,32012,32012
518,03/07/2024 , 04:00:00,33036,33036
519,03/07/2024 , 05:00:00,30988,30988
520,03/07/2024 , 06:00:00,30220,30220
521,03/07/2024 , 07:00:00,29196,29196
522,03/07/2024 , 08:00:00,29196,29196
523,03/07/2024 , 09:00:00,29964,29964
524,03/07/2024 , 10:00:00,29196,29196
525,03/07/2024 , 11:00:00,29964,29964
526,03/07/2024 , 12:00:00,28684,28684
527,03/07/2024 , 13:00:00,28172,28172
528,03/07/2024 , 14:00:00,28172,28172
529,03/07/2024 , 15:00:00,28428,28428
530,03/07/2024 , 16:00:00,28172,28172
531,03/07/2024 , 17:00:00,28172,28172
532,03/07/2024 , 18:00:00,27660,27660
533,03/07/2024 , 19:00:00,27404,27404
534,03/07/2024 , 20:00:00,27148,27148
535,03/07/2024 , 21:00:00,27148,27148
536,03/07/2024 , 22:00:00,27660,27660
537,03/07/2024 , 23:00:00,27404,27404
538,03/07/2024 , 23:59:59,27404,27404
539,04/07/2024 , 01:00:00,27148,27148
540,04/07/2024 , 02:00:00,26892,26892
541,04/07/2024 , 03:00:00,26892,26892
542,04/07/2024 , 04:00:00,26636,26636
543,04/07/2024 , 05:00:00,24588,24588
544,04/07/2024 , 06:00:00,24332,24332
545,04/07/2024 , 07:00:00,24076,24076
546,04/07/2024 , 08:00:00,23820,23820
547,04/07/2024 , 09:00:00,23820,23820
548,04/07/2024 , 10:00:00,23564,23564
549,04/07/2024 , 11:00:00,24844,24844
550,04/07/2024 , 12:00:00,23564,23564
551,04/07/2024 , 13:00:00,23052,23052
552,04/07/2024 , 14:00:00,22796,22796
553,04/07/2024 , 15:00:00,24588,24588
554,04/07/2024 , 16:00:00,22540,22540
555,04/07/2024 , 17:00:00,22284,22284
556,04/07/2024 , 18:00:00,22540,22540
557,04/07/2024 , 19:00:00,22540,22540
558,04/07/2024 , 20:00:00,22284,22284
559,04/07/2024 , 21:00:00,22028,22028
560,04/07/2024 , 22:00:00,21772,21772
561,04/07/2024 , 23:00:00,21516,21516
562,04/07/2024 , 23:59:59,21260,21260
563,05/07/2024 , 01:00:00,21004,21004
564,05/07/2024 , 02:00:00,20748,20748
565,05/07/2024 , 03:00:00,20748,20748
566,05/07/2024 , 04:00:00,20748,20748
567,05/07/2024 , 05:00:00,20748,20748
568,05/07/2024 , 06:00:00,23820,23820
569,05/07/2024 , 07:00:00,23820,23820
570,05/07/2024 , 08:00:00,23308,23308
571,05/07/2024 , 09:00:00,23052,23052
572,05/07/2024 , 10:00:00,23052,23052
573,05/07/2024 , 11:00:00,23052,23052
574,05/07/2024 , 12:00:00,23052,23052
575,05/07/2024 , 13:00:00,23052,23052
576,05/07/2024 , 14:00:00,22796,22796
577,05/07/2024 , 15:00:00,22284,22284
578,05/07/2024 , 16:00:00,22028,22028
579,05/07/2024 , 17:00:00,21516,21516
580,05/07/2024 , 18:00:00,21772,21772
581,05/07/2024 , 19:00:00,21260,21260
582,05/07/2024 , 20:00:00,21516,21516
583,05/07/2024 , 21:00:00,21260,21260
584,05/07/2024 , 22:00:00,21516,21516
585,05/07/2024 , 23:00:00,21260,21260
586,05/07/2024 , 23:59:59,21260,21260
587,06/07/2024 , 01:00:00,21004,21004
588,06/07/2024 , 02:00:00,21004,21004
589,06/07/2024 , 03:00:00,20748,20748
590,06/07/2024 , 04:00:00,20236,20236
591,06/07/2024 , 05:00:00,20492,20492
592,06/07/2024 , 06:00:00,19980,19980
593,06/07/2024 , 07:00:00,19724,19724
594,06/07/2024 , 08:00:00,19212,19212
595,06/07/2024 , 09:00:00,18956,18956
596,06/07/2024 , 10:00:00,18700,18700
597,06/07/2024 , 11:00:00,18700,18700
598,06/07/2024 , 12:00:00,18700,18700
599,06/07/2024 , 13:00:00,18444,18444
600,06/07/2024 , 14:00:00,18188,18188
601,06/07/2024 , 15:00:00,18188,18188
