file.uid;lat.garmin.dms;long.garmin.dms;measure_status;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.neg.length1_mm;cal.value1;cal.neg.length2_mm;cal.value2;cal.neg.length3_mm;cal.value3;long.fil.cm;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;out.mean.cm;out.1.a.cm;out.1.b.cm;out.1.c.cm;out.2.a.cm;out.2.b.cm;out.2.c.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;in.bulleur.measure.status
41379_20241125;NA;NA;approved;STH;STH.ch2.A2.30m.2024;STH.ch2.A2;NA;41379;ODYSSEY;-800;1662;-200;2742;-448,3333333;2295;80;;2024-06-13 15:00;2024-11-14 11:00;22,27;0;0;0;0;0;0;47,5;-47,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
41361_20241125;NA;NA;rejected;STH;STH.ch2.A2.7m.2024;STH.ch2.A2;NA;41361;ODYSSEY;-800;1747;-200;2991;;;80;Pris l'eau ? En tk dessicant mouillé;NA;NA;28,53;0;0;0;0;0;0;55,8;-55,8;2024-11-14;10:00:01;AP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
41376_20241125;NA;NA;rejected;STH;STH.ch2.A2.m1m.2024;STH.ch2.A2;NA;41376;ODYSSEY;-800;1647;-200;2749;;;80;Pris l'eau;NA;NA;28,6;0;0;0;0;0;0;36;-36;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;
42565_20241125;NA;NA;approved;STH;STH.ch2.C.10m.2024;STH.ch2.C;NA;42565;ODYSSEY;-1400;1858;-200;3693;-428,2288828;3344;140;;2024-06-13 15:00;2024-11-14 11:00;22,73;0;0;0;0;0;0;46;-46;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
42564_20241125;NA;NA;approved;STH;STH.ch2.C.30m.2024;STH.ch2.C;NA;42564;ODYSSEY;-1400;1848;-200;3691;-1930,005426;1034;140;;2024-06-13 15:00;2024-11-14 11:00;33,27;0;0;0;0;0;0;53,9;-53,9;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
42566_20241125;NA;NA;approved;STH;STH.ch2.C.7m.2024;STH.ch2.C;NA;42566;ODYSSEY;-1400;1846;-200;3682;-660,130719;2978;140;OUI, c'est la bonne mesure;2024-06-23 15:00;2024-11-14 11:00;21,2;0;0;0;0;0;0;71,5;-71,5;2024-11-14;10:00:01;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
41359_20241125;NA;NA;approved;STH;STH.ch2.C.m1m.2024;STH.ch2.C;NA;41359;ODYSSEY;-800;1748;-200;3000;-271,4057508;2851;80;;2024-06-13 15:00;2024-11-14 11:00;30,53;0;0;0;0;0;0;25,5;-25,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
41387_20251128;46,70589;-71,06369;rejected;STH;STH.ch2.C.m1m.2025;STH.ch2.C;;41387;ODYSSEY;-800;1645;-200;2755;;;80;N'a pas enregistré de données…;2025-05-03 17:00;2025-11-27 10:00;23,2;0;0;0;0;0;0;24,3;-24,3;2025-07-30;14:57:01;"AG;AP";35,5;-35,5;2025-09-18;15:40:00;AG;33;-33;2025-10-16;12:09:00;AG;24;-24;2025-11-27;09:20:00;AG;
41360_20251128;46,70576;-71,06384;pending_approbation;STH;STH.ch2.C.p14m.2025;STH.ch2.C;shannon_010 (2025);41360;ODYSSEY;-800;1541;-200;2461;;;80;;2025-05-03 17:00;2025-11-27 13:00;16,2;0;0;0;0;0;0;46;-46;2025-07-30;14:20:01;"AG;AP";91;-91;2025-09-18;15:40:00;AG;41,5;-41,5;2025-11-27;09:53:00;AG;NA;NA;NA;NA;NA;
41378_20251128;46,70583;-71,06376;verified;STH;STH.ch2.C.p2,5m.2025;STH.ch2.C;;41378;ODYSSEY;-800;1787;-200;3056;;;80;archive out :  56,4  (??) // 27 nov zip level (vs sol du puits m1m) = 27,2 cm // N'a pas enregistré de données… // 41376 erroné, c'était 41378 tout le long OUI CHANGÉ 14 janvier 2026 // CANAL LUI (27 nov 2025);2025-05-03 17:00;2025-11-27 11:00;27,2;0;0;0;0;0;0;21,5;-21,5;2025-07-30;14:53:01;"AG;AP";47;-47;2025-09-18;15:15:00;AG;18,5;-18,5;2025-11-27;10:00:00;AG;29,75;-29,75;2025-10-16;12:15:00;AG;
