form_or_dataset;onglet;statut;column_name;manuel/automatique/facultatif;long_format_name;original_idea;note;coding
data_SITE.UID;vegetation_trees.shr;valide;circ.cm.1;manuel;circonférence en CM;;utiliser un tape à DHP, côté du crochet c'est en CM ** // DHP de chaque ind., séparés par un POINT VIRGULE;
data_SITE.UID;vegetation_trees.shr;valide;dom.sp.2;manuel;espèce dominante # 2;;;
data_SITE.UID;vegetation_trees.shr;valide;nb.ind.2;manuel;nombre d'individus;;total pour l'espèce;
data_SITE.UID;vegetation_trees.shr;valide;circ.cm.2;manuel;circonférence en CM;;utiliser un tape à DHP, côté du crochet c'est en CM ** // DHP de chaque ind., séparés par un POINT VIRGULE;
data_SITE.UID;vegetation_trees.shr;valide;dom.sp.3;manuel;espèce dominante # 3;;;
data_SITE.UID;vegetation_trees.shr;valide;nb.ind.3;manuel;nombre d'individus;;total pour l'espèce;
data_SITE.UID;vegetation_trees.shr;valide;circ.cm.3;manuel;circonférence en CM;;utiliser un tape à DHP, côté du crochet c'est en CM ** // DHP de chaque ind., séparés par un POINT VIRGULE;
data_SITE.UID;vegetation_trees.shr;valide;dom.sp.4;manuel;espèce dominante # 4;;;
data_SITE.UID;vegetation_trees.shr;valide;nb.ind.4;manuel;nombre d'individus;;total pour l'espèce;
data_SITE.UID;vegetation_trees.shr;valide;circ.cm.4;manuel;circonférence en CM;;utiliser un tape à DHP, côté du crochet c'est en CM ** // DHP de chaque ind., séparés par un POINT VIRGULE;
data_SITE.UID;vegetation_trees.shr;valide;dom.sp.5;manuel;espèce dominante # 5;;;
data_SITE.UID;vegetation_trees.shr;valide;nb.ind.5;manuel;nombre d'individus;;total pour l'espèce;
data_SITE.UID;vegetation_trees.shr;valide;circ.cm.5;manuel;circonférence en CM;;utiliser un tape à DHP, côté du crochet c'est en CM ** // DHP de chaque ind., séparés par un POINT VIRGULE;
data_SITE.UID;vegetation_trees.shr;valide;picture.no;manuel;;;;
data_SITE.UID;vegetation_trees.shr;valide;date.aaaa-mm-dd;idem;;;;
data_SITE.UID;vegetation_trees.shr;valide;tr.uid;idem;;;;
data_SITE.UID;vegetation_trees.shr;valide;site;idem;;;;
data_SITE.UID;vegetation_trees.shr;valide;observers;idem;;;;
data_SITE.UID;vegetation_trees.shr;valide;comment;idem;;;;
data_SITE.UID;vegetation_lower.str;valide;line.id;idem;;;;
data_SITE.UID;vegetation_lower.str;valide;site.uid;idem;Identifiant unique de site;;;
data_SITE.UID;vegetation_lower.str;valide;tr.uid.rel.dist.quadrat.aaaa ;automatique;identifiant unique de traitement + distance + quadrat (20m, A, B ou C) + année de l'évaluation;;;
data_SITE.UID;vegetation_lower.str;valide;eri.height.cm;manuel;ericacées hauteur moyenne en cm;;;
data_SITE.UID;vegetation_lower.str;valide;herb.height.cm;manuel;ericherbacées hauteur moyenne en cm;;;
data_SITE.UID;vegetation_lower.str;valide;eri.cover.%;manuel;STRATE couverture en pourcentage;;;
data_SITE.UID;vegetation_lower.str;valide;herb.cover.%;manuel;STRATE couverture en pourcentage;;;
data_SITE.UID;vegetation_lower.str;valide;sph.cover.%;manuel;STRATE couverture en pourcentage;;;
data_SITE.UID;vegetation_lower.str;valide;othm.cover.%;manuel;STRATE couverture en pourcentage;;;
data_SITE.UID;vegetation_lower.str;valide;peat.cover.%;manuel;STRATE couverture en pourcentage;;;
data_SITE.UID;vegetation_lower.str;valide;water.cover.%;manuel;STRATE couverture en pourcentage;;;
data_SITE.UID;vegetation_lower.str;valide;litter.cover.%;manuel;STRATE couverture en pourcentage;;;
data_SITE.UID;vegetation_lower.str;valide;straw.cover.%;manuel;STRATE couverture en pourcentage;;;
data_SITE.UID;vegetation_lower.str;valide;dom.sp.1;manuel;espèce dominante # 1;;;
data_SITE.UID;vegetation_lower.str;valide;dom.%.1;manuel;;;;
data_SITE.UID;vegetation_lower.str;valide;dom.sp.2;manuel;espèce dominante # 2;;;
data_SITE.UID;vegetation_lower.str;valide;dom.%.2;manuel;;;;
data_SITE.UID;vegetation_lower.str;valide;dom.sp.3;manuel;espèce dominante # 3;;;
data_SITE.UID;vegetation_lower.str;valide;dom.%.3;manuel;;;;
data_SITE.UID;vegetation_lower.str;valide;picture.no;idem;;;;
data_SITE.UID;vegetation_lower.str;valide;date.aaaa-mm-dd;idem;;;;
data_SITE.UID;vegetation_lower.str;valide;tr.uid;idem;;;;
data_SITE.UID;vegetation_lower.str;valide;site;idem;;;;
data_SITE.UID;vegetation_lower.str;valide;observers;idem;;;;
data_SITE.UID;vegetation_lower.str;valide;comment;idem;;;;
data_SITE.UID;validation ;valide;-;;;;toutes données vérifiant les entrées dans les autres onglets de prises de données;
data_SITE.UID;sp_code ;valide;-;;;;toutes espèces, utilisées dans la validation de données // proviennent d'une base de données personnelle, externe au fichier.;
data_SITE.UID;READ_ME;-;-;;;;généralement impertinent au projet, on y ajoutera toute métadonnées du fichier;
data_SITE.UID;cad.[…] ;-;-;;;;onglets caduques, pour archive;
;;;;;;;;
Sites;;caduque;unit_UID;;unit_line_unique_universial_identification_number;;donne le nombre de milisecondes écoulées depuis la date indiquée;epoch(to_date('2025-03-25 12:00:00'))
Sites;;caduque;status;;verification_status;en revenant du terrain, toutes les lignes doivent être validées, leur statu changé;NE RIEN SUPPRIMER;par défaut : pending verification // autres choix :  verified / rejected
Sites;;caduque;verif_by;;verified_by;;;
Sites;;caduque;title;;;commentaire/repérage/field_data;;par défaut : field_data
Sites;;caduque;project;;;mot clé.initiales;;par défaut : connectivity_AG
Sites;;caduque;observer;;;;;liste des personnes possibles
Sites;;caduque;uid_experi;;uid_experiment;unique ID for the experiment or chapter name;;liste de mes UID
Sites;;caduque;site_desc;;site_description;;;
