file.uid;lat.garmin.dms;long.garmin.dms;measure_status;chapitre;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.neg.length1_mm;cal.value1;cal.neg.length2_mm;cal.value2;cal.neg.length3_mm;cal.value3;long.fil.cm;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;distance.m;out.long.tuyau.sol.cm;pt.haut.cm;pt.bas1.cm;pt.bas2.cm;pt.bas3.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;x.archive.cal.station_id;x.archive.cal.length.cm;x.archive.2.neg.cal.OUI.length_mm;x.archive.cal.value;x.archive.cal.order;x.archive.measure_type
22224414_20251210;47,62243;-64,83;verified;ch2;INK;INK.pasMare.C2.p30m.2025;INK.pasMare.C2;NA;22224414;HOBO U20L;;;NA;;;;134,5;;2025-05-29 08:00;2025-11-13 11:00;30;25,6;25,6;0;0;0;52,5;-52,5;2025-05-29;09:00:01;AP;100,9;-100,9;2025-07-21;12:39:01;AP;94;-94;2025-11-13;11:32:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
41372_20241125;NA;NA;approved;ch2;STH;STH.A2.10m.2024;STH.A2;41383;41372;ODYSSEY;-800;1511;-200;2439;-489,0086207;1992;80;;2024-06-13 15:00;2024-11-14 11:00;10;17,4;33,8;13,6;19,2;16,4;53;-53;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;1511;1;calibration
42564_20241125;NA;NA;approved;ch2;STH;STH.C.30m.2024;STH.C;NA;42564;ODYSSEY;-1400;1848;-200;3691;-1930,005426;1034;140;;2024-06-13 15:00;2024-11-14 11:00;30;33,27;62,2;27,4;28;31,4;53,9;-53,9;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;140;NA;1848;1;calibration
22220785_20250527;47,62268;-64,83086;approved;ch2;INK;INK.Mare.C1.p7m.2025;INK.Mare.C1;NA;22220785;HOBO U20L;;;NA;;;;137,6;;2025-05-18 10:00;2025-05-26 11:00;7;21,5;21,5;0;0;0;54;-54;2025-05-21;13:00:01;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;;NA;NA;NA;NA
22195241_20250721;47,62281;-64,82873;approved;ch2;INK;INK.pasMare.D1.m1m.2025;INK.pasMare.D1;NA;22195241;HOBO U20L;;;NA;;;;143,9;"ok pas etiquette, out 21 juill 47;47,7;46,8";2025-05-25 14:00;2025-07-21 11:00;-1;44;44;0;0;0;54,5;-54,5;2025-05-26;08:00:01;AP;103,3;-103,3;2025-07-21;10:27:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;;NA;NA;NA;NA
41361_20241125;NA;NA;rejected;ch2;STH;STH.A2.7m.2024;STH.A2;NA;41361;ODYSSEY;-800;1747;-200;2991;;;80;Pris l'eau ? En tk dessicant mouillé;NA;NA;7;28,53;-3;-36,2;-27,2;-31,2;55,8;-55,8;2024-11-14;10:00:01;AP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;1747;1;calibration
41362_20241125;NA;NA;approved;ch2;STH;STH.D3.10m.2024;STH.D3;NA;41362;ODYSSEY;-800;1647;-200;2739;-600;2011;80;;2024-06-13 15:00;2024-11-14 11:00;10;28,87;36,4;4,2;10,4;8;63,3;-63,3;2024-11-14;10:00:01;AP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;1647;1;calibration
22224410_20251125;47,6225;-64,82941;verified;ch2;INK;INK.pasMare.A2.p30m.2025;INK.pasMare.A2;NA;22224410;HOBO U20L;;;NA;;;;145,5;;2025-05-29 12:00;2025-11-13 11:00;30;37;37;0;0;0;64,2;-64,2;2025-05-29;09:00:01;AP;112,2;-112,2;2025-07-21;11:55:01;AP;107,5;-107,5;2025-11-13;11:19:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22220789_20251202;47,64523;-64,83363;verified;ch3;INK;INK.ch3.rmvd.2.2025;INK.ch3.rmvd;NA;22220789;HOBO U20L;;;NA;;;;131,2;installer juill/août;2025-07-26 14:00;2025-11-13 12:00;NA;39,1;39,1;0;0;0;64,5;-64,5;2025-11-13;12:56:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22220784_20251210;47,62273;-64,82871;verified;ch2;INK;INK.pasMare.D1.p7m.2025;INK.pasMare.D1;oups 0874 erreur pré 10 déc. 2025, mais éliminé toute autre possibilité;22220784;HOBO U20L;;;NA;;;;143,1;;2025-05-28 09:00;2025-11-13 11:00;7;45,8;45,8;0;0;0;65;-65;2025-05-29;08:00:01;AP;111,6;-111,6;2025-07-21;11:32:01;AP;102,5;-102,5;2025-11-13;11:08:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224396_20251202;47,79654;-69,506358;verified;ch1;PRO;PRO.ch1.T3.chippd;PRO.ch1.T3;NA;22224396;HOBO U20L;;;NA;;;;99,3;39 et 5/16.. ;2025-10-09 15:30;2025-11-12 10:00;NA;49,17;49,17;0;0;0;66,5;-66,5;2025-11-12;10:38:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8539;;NA;NA;NA;NA
22224412_20251210;47,6227;-64,83005;verified;ch2;INK;INK.pasMare.C2.m1m.2025;INK.pasMare.C2;NA;22224412;HOBO U20L;;;NA;;;;142;;2025-05-10 10:00;2025-11-13 11:00;-1;29,5;29,5;0;0;0;68;-68;2025-05-12;14:00:01;"AG;AP";52,5;-52,5;2025-07-21;12:25:01;AG;44;-44;2025-11-13;11:45:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22063140_20251202;47,62337;-64,83321;verified;ch2;INK;INK.Mare.D2.p7m.2025;INK.Mare.D2;NA;22063140;HOBO U20L;;;NA;;;;135,2;;2025-05-31 10:00;2025-11-13 12:00;7;28,8;28,8;0;0;0;70,6;-70,6;2025-07-21;15:19:01;AP;61;-61;2025-11-13;11:47:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22220782_20251202;47,62281;-64,83215;verified;ch2;INK;INK.Mare.A1.p30m.2025;INK.Mare.A1;NA;22220782;HOBO U20L;;;NA;;;;137,2;;2025-05-29 09:00;2025-11-13 12:00;30;34,8;34,8;0;0;0;70,9;-70,9;2025-05-29;09:00:01;AP;109,5;-109,5;2025-07-21;13:20:01;AP;109;-109;2025-11-13;11:24:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224411_20251202;47,62318;-64,83266;verified;ch2;INK;INK.Mare.A2.p7m.2025;INK.Mare.A2;NA;22224411;HOBO U20L;;;NA;;;;136,9;;2025-05-30 10:00;2025-11-13 11:00;7;39,1;39,1;0;0;0;71,5;-71,5;2025-07-21;15:01:01;AP;83;-83;2025-11-13;10:34:00;AG;;0;;;;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
