file.uid;lat.garmin.dms;long.garmin.dms;measure_type;measure_status;chapitre;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.length.cm;long.fil.cm;cal.order;long_negative_cal.length_mm;cal.value;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;distance.m;out.long.tuyau.sol.cm;pt.haut.cm;pt.bas1.cm;pt.bas2.cm;pt.bas3.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;x.archive.cal.station_id
41370_20241125;NA;NA;calibration;approved;ch2;STH;STH.D3.7m.2024;STH.D3;NA;41370;ODYSSEY;20;80;2;NA;2716;;2024-06-13 15:00;2024-11-14 11:00;7;30,53;-29,8;-56,6;-61,6;-62,8;44;-44;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41370_20241125;NA;NA;offset_measurement;approved;ch2;STH;STH.D3.7m.2024;STH.D3;NA;41370;ODYSSEY;NA;80;NA;NA;2329;;2024-06-13 15:00;2024-11-14 11:00;7;30,53;-29,8;-56,6;-61,6;-62,8;44;-44;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41360_20251128;46,70576;-71,06384;calibration;pending_approbation;ch2;STH;STH.C.p14m.2025;STH.C;shannon_010 (2025);41360;ODYSSEY;80;80;1;-800;1541;;2025-05-03 17:00;2025-11-27 13:00;14;16,2;16,2;0;0;0;46;-46;2025-07-30;14:20:01;"AG;AP";91;-91;2025-09-18;15:40:00;AG;41,5;-41,5;2025-11-27;13:53:00;AG;NA;NA;NA;NA;NA;NA
42565_20241125;NA;NA;calibration;approved;ch2;STH;STH.C.10m.2024;STH.C;NA;42565;ODYSSEY;140;140;1;NA;1858;;2024-06-13 15:00;2024-11-14 11:00;20;22,73;8,4;-13,4;-14,2;-15,4;46;-46;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42565_20241125;NA;NA;calibration;approved;ch2;STH;STH.C.10m.2024;STH.C;NA;42565;ODYSSEY;20;140;2;NA;3693;;2024-06-13 15:00;2024-11-14 11:00;20;22,73;8,4;-13,4;-14,2;-15,4;46;-46;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42565_20241125;NA;NA;offset_measurement;approved;ch2;STH;STH.C.10m.2024;STH.C;NA;42565;ODYSSEY;NA;140;NA;NA;3344;;2024-06-13 15:00;2024-11-14 11:00;20;22,73;8,4;-13,4;-14,2;-15,4;46;-46;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22224394_20251210;47,62257;-64,82867;NA;verified;ch2;INK;INK.pasMare.D1.p30m.2025;INK.pasMare.D1;NA;22224394;HOBO U20L;;133,6;NA;NA;NA;;2025-05-29 13:00;2025-11-13 11:00;30;19,4;19,4;0;0;0;46,2;-46,2;2025-05-29;08:00:01;AP;80,5;-80,5;2025-07-21;11:38:01;AP;91,25;-91,25;2025-11-13;11:10:00;AG;NA;NA;NA;NA;NA;6915
22224399_20251210;47,62262;-64,82816;NA;verified;ch2;INK;INK.pasMare.A1.p30m.2025;INK.pasMare.A1;NA;22224399;HOBO U20L;;128,2;NA;NA;NA;;2025-05-29 14:00;2025-11-13 10:00;30;27;27;0;0;0;46,8;-46,8;2025-05-29;08:00:01;AP;76,8;-76,8;2025-07-21;11:18:01;AP;75;-75;2025-11-13;10:52:00;AG;NA;NA;NA;NA;NA;6915
41379_20241125;NA;NA;calibration;approved;ch2;STH;STH.A2.30m.2024;STH.A2;NA;41379;ODYSSEY;80;80;1;NA;1662;;2024-06-13 15:00;2024-11-14 11:00;30;22,27;64,4;41,2;43,4;41,8;47,5;-47,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41379_20241125;NA;NA;calibration;approved;ch2;STH;STH.A2.30m.2024;STH.A2;NA;41379;ODYSSEY;20;80;2;NA;2742;;2024-06-13 15:00;2024-11-14 11:00;30;22,27;64,4;41,2;43,4;41,8;47,5;-47,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41379_20241125;NA;NA;offset_measurement;approved;ch2;STH;STH.A2.30m.2024;STH.A2;NA;41379;ODYSSEY;NA;80;NA;NA;2295;;2024-06-13 15:00;2024-11-14 11:00;30;22,27;64,4;41,2;43,4;41,8;47,5;-47,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41382_20251203;46,70609;-71,0642;calibration;rejected;ch2;STH;STH.D2.p6m.2025;STH.D2;Shannon_009;41382;ODYSSEY;80;80;1;-800;1536;;2025-05-03 17:00;2025-11-27 10:00;6;18,3;18,3;0;0;0;48,5;-48,5;2025-07-30;13:48:01;"AG;AP";74;-74;2025-09-18;15:15:00;AG;71;-71;2025-10-16;11:32:00;AG;33,25;-33,25;2025-11-27;10:24:00;AG;NA
41382_20251203;46,70609;-71,0642;calibration;verified;ch2;STH;STH.D2.p6m.2025;STH.D2;Shannon_009;41382;ODYSSEY;20;80;2;-200;2465;;2025-05-03 17:00;2025-11-27 10:00;6;17,8;17,8;0;0;0;48,5;-48,5;2025-07-30;13:48:01;"AG;AP";74;-74;2025-09-18;15:15:00;AG;71;-71;2025-10-16;11:32:00;AG;33,25;-33,25;2025-11-27;10:24:00;AG;NA
41382_20251203;46,70609;-71,0642;offset_measurement;verified;ch2;STH;STH.D2.p6m.2025;STH.D2;Shannon_009;41382;ODYSSEY;;80;NA;NA;;;2025-05-03 17:00;2025-11-27 10:00;6;17,8;17,8;0;0;0;48,5;-48,5;2025-07-30;13:48:01;"AG;AP";74;-74;2025-09-18;15:15:00;AG;71;-71;2025-10-16;11:32:00;AG;33,25;-33,25;2025-11-27;10:24:00;AG;NA
